ppm,C1211,C1212,C1213,C1214,C1215,C1231,C1232,C1233,C1234,C1235
3.94055,0.000368196,0.00040667,0.000469952,0.000320242,0.000322611,0.000339541,0.000251349,0.000107539,0.000365778,0.000217636
3.9393,0.00037474,0.000417508,0.00047899,0.000320988,0.000331427,0.000337065,0.000257544,0.00010989,0.000375013,0.000230328
3.93805,0.00038578,0.000432303,0.000492695,0.000322704,0.000340876,0.000337344,0.000267394,0.00011318,0.000384995,0.000241205
3.9368,0.000397293,0.000446454,0.000506063,0.000324397,0.000348904,0.000339181,0.000278179,0.000115451,0.000391436,0.000244373
3.93554,0.00040624,0.00045566,0.000514442,0.000325444,0.000354586,0.000341135,0.000286777,0.000115422,0.000391807,0.000237694
3.93429,0.000411209,0.000457209,0.000514851,0.00032548,0.000357717,0.000342171,0.000290555,0.000112664,0.000385888,0.00022322
3.93304,0.000412349,0.000450924,0.000506394,0.000324359,0.000358729,0.000341998,0.000288193,0.0001077,0.000375301,0.000205603
3.93179,0.000411181,0.000439459,0.000490261,0.00032241,0.000359044,0.000340989,0.000280116,0.000102093,0.000363162,0.000189827
3.93054,0.000410647,0.000427754,0.000469792,0.0003207,0.000361013,0.000340022,0.000268511,9.82E-05,0.000353917,0.000179683
3.92929,0.000414619,0.00042142,0.000450272,0.000320751,0.000366963,0.000340143,0.000256948,9.83E-05,0.000352211,0.000177256
3.92803,0.000426154,0.000424335,0.000437523,0.000323582,0.000377767,0.000342103,0.000249204,0.000102985,0.000360502,0.000182763
3.92678,0.000445164,0.000436418,0.000435234,0.000328567,0.000391848,0.000345748,0.000247368,0.000110483,0.000376897,0.00019431
3.92553,0.000467002,0.000452814,0.000442509,0.000333104,0.000405377,0.000349722,0.000250306,0.000116628,0.000395102,0.000207928
3.92428,0.000483519,0.000465259,0.000453567,0.000333682,0.000413785,0.000351829,0.000253779,0.000116849,0.000407017,0.000218581
3.92303,0.000486583,0.000465633,0.00046041,0.000328141,0.000414231,0.000350278,0.000252603,0.000108868,0.000406847,0.000222271
3.92178,0.000472425,0.00045036,0.000457292,0.000317954,0.000408019,0.000345236,0.000243898,9.51E-05,0.000395004,0.000218672
