name,cluster
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,1.88724
2-Aminobutyrate,0.96765
2-Aminobutyrate,0.96765
2-Aminobutyrate,0.96765
2-Aminobutyrate,0.96765
2'-Deoxyadenosine,3.83868
2'-Deoxyadenosine,3.83868
2'-Deoxyadenosine,3.83868
2'-Deoxyadenosine,3.83868
2'-Deoxyadenosine,3.77742
2'-Deoxyadenosine,3.77742
2'-Deoxyadenosine,3.77742
2'-Deoxyadenosine,3.77742
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.83954
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyadenosine,2.55963
2'-Deoxyguanosine,3.81188
2'-Deoxyguanosine,3.81188
2'-Deoxyguanosine,3.81188
2'-Deoxyguanosine,3.81188
2'-Deoxyguanosine,3.75449
2'-Deoxyguanosine,3.75449
2'-Deoxyguanosine,3.75449
2'-Deoxyguanosine,3.75449
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.77831
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyguanosine,2.50207
2'-Deoxyinosine,3.82862
2'-Deoxyinosine,3.82862
2'-Deoxyinosine,3.82862
2'-Deoxyinosine,3.82862
2'-Deoxyinosine,3.76996
2'-Deoxyinosine,3.76996
2'-Deoxyinosine,3.76996
2'-Deoxyinosine,3.76996
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.83951
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2'-Deoxyinosine,2.58913
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,2.23879
2-Ethylacrylate,0.99796
2-Ethylacrylate,0.99796
2-Ethylacrylate,0.99796
2-Hydroxy-3-methylvalerate,3.87204
2-Hydroxy-3-methylvalerate,3.87204
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.74838
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.35144
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,1.14937
2-Hydroxy-3-methylvalerate,0.93137
2-Hydroxy-3-methylvalerate,0.93137
2-Hydroxy-3-methylvalerate,0.86471
2-Hydroxy-3-methylvalerate,0.86471
2-Hydroxy-3-methylvalerate,0.86471
2-Hydroxy-3-methylvalerate,0.86471
2-Hydroxybutyrate,3.99356
2-Hydroxybutyrate,3.99356
2-Hydroxybutyrate,3.99356
2-Hydroxybutyrate,3.99356
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.72922
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,1.64207
2-Hydroxybutyrate,0.88752
2-Hydroxybutyrate,0.88752
2-Hydroxybutyrate,0.88752
2-Hydroxybutyrate,0.88752
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.27588
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,2.22311
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.9839
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyglutarate,1.82767
2-Hydroxyisobutyrate,1.34568
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.72622
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.5197
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,1.4931
2-Hydroxyisocaproate,0.9152
2-Hydroxyisocaproate,0.9152
2-Hydroxyisocaproate,0.91104
2-Hydroxyisocaproate,0.91104
2-Hydroxyisovalerate,3.83926
2-Hydroxyisovalerate,3.83926
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
2-Hydroxyisovalerate,2.00642
